datetime,Retweets,Likes,bertweet_score,cardiff_score,vader_score,
28-01-2013 09:36,0,0,0.169378787,0.249375165,0.4871,
28-01-2013 12:00,0,0,0.514937842,0.508986982,0.3091,
28-01-2013 14:24,0,0,0.385097437,0.320614263,0.57655,
28-01-2013 16:48,0,0,0.030508578,0.10341689,0.70095,
28-01-2013 19:12,0,0,0.514177239,0.441918243,0.5,
28-01-2013 21:36,0,1,0.803604245,0.590535656,0.89225,
29-01-2013 00:00,0,1,0.509771841,0.512099095,0.81845,
29-01-2013 02:24,1,0,0.515284377,0.49413834,0.5386,
29-01-2013 04:48,0,0,0.506798004,0.484465441,0.5386,
29-01-2013 07:12,1,0,0.506135737,0.480569579,0.5386,
29-01-2013 09:36,0,0,0.512385414,0.440019883,0.5,
29-01-2013 12:00,0,0,0.037435859,0.280596584,0.9158,
29-01-2013 14:24,0,0,0.172821641,0.271793321,0.2225,
29-01-2013 16:48,0,0,0.404918462,0.295608595,0.7924,
29-01-2013 19:12,9,1,0.040581048,0.097102225,0.8744,
29-01-2013 21:36,0,0,0.621728592,0.576804563,0.7787,
30-01-2013 00:00,0,0,0.43928593,0.324472547,0.5,
30-01-2013 02:24,0,0,0.429255426,0.352494389,0.23665,
30-01-2013 04:48,1,0,0.486443693,0.385364547,0.1596,
30-01-2013 07:12,0,0,0.497427198,0.472142685,0.5,
30-01-2013 09:36,1,0,0.58696451,0.327928618,0.5258,
30-01-2013 12:00,0,0,0.92001605,0.880596817,0.8057,
30-01-2013 14:24,2,2,0.481529318,0.347808629,0.1546,
30-01-2013 16:48,0,0,0.274481669,0.314744458,0.8592,
30-01-2013 19:12,1,0,0.031493813,0.171769887,0.2447,
30-01-2013 21:36,1,0,0.023508459,0.226405531,0.082,
31-01-2013 00:00,0,0,0.49468636,0.453220826,0.33,
31-01-2013 02:24,3,1,0.860046804,0.826076776,0.70095,
31-01-2013 04:48,1,0,0.884794176,0.707090721,0.5129,
31-01-2013 07:12,0,0,0.49468636,0.453220826,0.33,
31-01-2013 09:36,2,0,0.020487636,0.080968827,0.1175,
31-01-2013 12:00,0,0,0.979491979,0.921939164,0.8953,
